store_id,latitude,longitude,fulfilment_dc,fulfilment_dc_standard
B088,3.08468666372759,101.673371346657,HQ,HQ
B089,2.95382527723731,101.757114932315,HQ,HQ
B090,3.187391,101.605582,HQ,HQ
C024,6.017639,101.973083,HQ,HQ
D004,2.82300764652035,101.695238303637,HQ,HQ
DB08,3.05520189659281,101.787338623714,HQ,HQ
DB11,3.0279339,101.718401,HQ,HQ
DJ08,1.49486,103.87163,HQ,HQ
DJ11,1.4956907,103.7060588,HQ,HQ
DJ13,1.55261,103.79812,HQ,HQ
DJ15,1.57386,104.20647,HQ,HQ
DJ16,1.521545,103.815434,HQ,HQ
DT01,4.756089,103.411972,HQ,HQ
DW03,3.13462669822232,101.723861383592,HQ,HQ
EA01,4.55047,101.1168786,HQ,HQ
EA02,4.636589,101.134262,HQ,HQ
EA11,3.99796,101.308055,HQ,HQ
EA13,4.363482,100.831018,HQ,HQ
EB01,3.0665992110922,101.636219304553,HQ,HQ
EB02,3.05664456046442,101.545632385901,HQ,HQ
EB03,3.01606265029241,101.441129416059,HQ,HQ
EB04,3.07189128915258,101.766327622329,HQ,HQ
EB05,2.91492601456539,101.651014133872,HQ,HQ
EB06,3.37378458866159,101.532646387582,HQ,HQ
EB07,3.3797215155899,101.409942089722,HQ,HQ
EB08,2.98743931781537,101.868970853809,HQ,HQ
EB09,2.77185806495949,101.75156743475,HQ,HQ
EB10,3.07905629731203,101.421230978813,HQ,HQ
EB11,3.11094881220585,101.765026075979,HQ,HQ
EB12,3.37177412384054,101.612498475314,HQ,HQ
EB13,2.94252,101.61472,HQ,HQ
EB14,2.83227914068858,101.553892938367,HQ,HQ
EC02,4.4140084,101.3835574,HQ,HQ
EJ01,1.853809,103.026237,HQ,HQ
EJ02,2.344377,102.835646,HQ,HQ
EJ03,1.6695333,103.850365,HQ,HQ
EJ05,2.1310752,102.7157668,HQ,HQ
EJ06,2.1935672,103.1994249,HQ,HQ
EJ07,2.212124,103.536399,HQ,HQ
EJ08,2.456936,102.977348,HQ,HQ
EJ09,2.017205,103.291052,HQ,HQ
EJ10,1.73526,103.889251,HQ,HQ
EJ11,1.460416,103.909855,HQ,HQ
EJ12,2.296455,103.131026,HQ,HQ
EJ13,1.439914,103.618674,HQ,HQ
EJ14,2.005586,103.048254,HQ,HQ
EK07,5.821416,100.648904,HQ,HQ
EM01,2.215062,102.264787,HQ,HQ
EM04,2.3301005,102.2495668,HQ,HQ
EM05,2.2927,102.17276,HQ,HQ
EM06,2.17092,102.33543,HQ,HQ
EM07,2.3608,102.182899,HQ,HQ
EM08,2.215443,102.341923,HQ,HQ
EM09,2.149118,102.386869,HQ,HQ
EN01,2.83159601949408,102.318645783411,HQ,HQ
EN02,2.70091430877388,101.822149574292,HQ,HQ
EN03,2.64898422592207,101.923251630054,HQ,HQ
EN05,2.58546988545783,101.962264342733,HQ,HQ
EN06,2.75781920157801,101.820473207659,HQ,HQ
EN07,2.57411225497242,101.855958223527,HQ,HQ
EN08,2.785057,101.776085,HQ,HQ
EN09,2.512983,102.482833,HQ,HQ
EN10,2.935411,102.388031,HQ,HQ
EW01,3.13149241023226,101.671253263604,HQ,HQ
EW02,3.09252974463788,101.761572805466,HQ,HQ
EW03,2.92016772034554,101.659044289127,HQ,HQ
EW04,3.06842885362447,101.70536173475,HQ,HQ
EW05,3.08094624290691,101.730586777397,HQ,HQ
EW06,3.21120629183789,101.64662937842,HQ,HQ
EW07,3.147032,101.739282,HQ,HQ
P010,5.362693,100.526631,HQ,HQ
P016,5.62267,100.47578,HQ,HQ
P047,6.309892,99.856086,HQ,HQ
P071,6.351536,99.736953,HQ,HQ
P123,5.516571,100.53485,HQ,HQ
P150,5.657901,100.499062,HQ,HQ
P167,5.369171,100.275273,HQ,HQ
P176,5.451457,100.402316,HQ,HQ
PD04,6.322746362,99.85170403,HQ,HQ
PD25,6.259502,100.418967,HQ,HQ
PD27,1.48159,103.66037,HQ,HQ
PD29,3.20909278966166,101.657763513842,HQ,HQ
PD31,2.98522854154648,101.780939914302,HQ,HQ
PD32,3.23453119807647,101.490029432886,HQ,HQ
PD33,3.01566630027594,101.430935220612,HQ,HQ
PD34,3.0348380938978,101.76660168355,HQ,HQ
PD35,3.12821667462619,101.732986992085,HQ,HQ
PD36,3.14702403379328,101.767481945,HQ,HQ
PD37,2.0494582,102.5715126,HQ,HQ
PD39,1.7331385,103.9060872,HQ,HQ
PD40,3.06413991255504,101.709785339866,HQ,HQ
PD41,3.19827591420558,101.726200429124,HQ,HQ
Q002,4.596083,101.090028,HQ,HQ
Q005,4.544361,101.068278,HQ,HQ
Q006,4.626694,101.117389,HQ,HQ
Q007,4.354694,100.970528,HQ,HQ
Q008,4.208381,100.672144,HQ,HQ
Q009,4.616722,101.11875,HQ,HQ
Q010,3.31866999792657,101.272142381083,HQ,HQ
Q014,4.36575,100.980194,HQ,HQ
Q015,4.67775,101.121972,HQ,HQ
Q016,4.544778,101.071222,HQ,HQ
